wave,spec,std
350,0.056378492,0.017361835
351,0.056530301,0.017371261
352,0.056679864,0.017325901
353,0.056877701,0.017568809
354,0.057010882,0.017700938
355,0.057093395,0.017729306
356,0.057248433,0.017753341
357,0.057307792,0.017889371
358,0.057364084,0.018016746
359,0.057556685,0.017945944
360,0.057878198,0.01803146
361,0.058182038,0.018168777
362,0.058421898,0.018333215
363,0.058376389,0.018417861
364,0.058488381,0.018521805
365,0.058738734,0.018628293
366,0.058987009,0.018622341
367,0.059103487,0.018708002
368,0.059227118,0.018827222
369,0.059541207,0.01892664
370,0.059625221,0.019021717
371,0.059711871,0.01909897
372,0.059872782,0.019153815
373,0.060141228,0.019233708
374,0.06046677,0.019382625
375,0.060816568,0.019577633
376,0.060993445,0.019670792
377,0.061170312,0.019762368
378,0.061377478,0.019860189
379,0.061664773,0.019975551
380,0.061902099,0.0200749
381,0.062136811,0.020181126
382,0.062379556,0.020299845
383,0.062727263,0.020409619
384,0.063003862,0.020524598
385,0.063250165,0.020655282
386,0.063639399,0.020852413
387,0.063982476,0.021009165
388,0.064248697,0.021130887
389,0.064366991,0.021204841
390,0.064635853,0.021407294
391,0.064920957,0.021542187
392,0.065205019,0.021575016
393,0.065381677,0.021698213
394,0.065641207,0.021816662
395,0.065939106,0.021931159
396,0.066172162,0.022051787
397,0.066436435,0.022206552
398,0.066697799,0.022358126
399,0.066927561,0.022476123
400,0.06711314,0.022549062
401,0.067308882,0.022614399
402,0.067525682,0.022680666
403,0.067707246,0.022778794
404,0.067849557,0.022867074
405,0.067992645,0.022950992
406,0.068251621,0.023045003
407,0.068481368,0.023155513
408,0.068698932,0.023242838
409,0.06891437,0.023273231
410,0.069137256,0.023402508
411,0.069374296,0.023516989
412,0.069622849,0.023602602
413,0.069820103,0.023695117
414,0.070024208,0.023785495
415,0.070233415,0.023873937
416,0.07045187,0.023961809
417,0.070659799,0.02405843
418,0.070876082,0.024157082
419,0.071120181,0.024257016
420,0.071370336,0.02436153
421,0.071614372,0.024463398
422,0.071853466,0.024562931
423,0.072108164,0.024668704
424,0.072359631,0.024772585
425,0.072607884,0.024878851
426,0.072859339,0.025002193
427,0.073127959,0.025127397
428,0.073405111,0.025251814
429,0.073686755,0.025372623
430,0.073962446,0.025486588
431,0.074265384,0.025610451
432,0.074592117,0.025745162
433,0.074891632,0.025893623
434,0.07519947,0.026025404
435,0.075504989,0.026146746
436,0.075800553,0.026268059
437,0.076086282,0.026388396
438,0.076366974,0.026511863
439,0.076648568,0.026643186
440,0.076953039,0.026773149
441,0.077247368,0.026899359
442,0.077533739,0.027022562
